week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2026-01-05,PROD003,STORE005,North,138,205.62,0,None,0.0
2026-01-05,PROD004,STORE005,North,91,226.59,0,None,0.0
2026-01-05,PROD005,STORE005,North,66,296.34,0,None,0.0
2026-01-05,PROD006,STORE005,North,51,203.49,0,None,0.0
2026-01-05,PROD007,STORE005,North,94,281.06,0,None,0.0
2026-01-05,PROD008,STORE005,North,55,274.45,0,None,0.0
2026-01-05,PROD009,STORE005,North,204,201.96,0,None,0.0
2026-01-05,PROD010,STORE005,North,138,247.02,0,None,0.0
2026-01-05,PROD011,STORE005,North,97,222.13,0,None,0.0
2026-01-05,PROD012,STORE005,North,161,207.69,0,None,0.0
2026-01-05,PROD013,STORE005,North,67,200.33,0,None,0.0
2026-01-05,PROD014,STORE005,North,94,281.06,0,None,0.0
2026-01-05,PROD015,STORE005,North,63,219.87,0,None,0.0
2026-01-05,PROD016,STORE005,North,59,223.61,0,None,0.0
2026-01-05,PROD017,STORE005,North,93,231.57,0,None,0.0
2026-01-05,PROD018,STORE005,North,223,244.19,1,BOGO,50.0
2026-01-05,PROD019,STORE005,North,228,344.74,1,Discount,20.0
2026-01-05,PROD020,STORE005,North,66,217.14,0,None,0.0
2026-01-05,PROD001,STORE006,North,87,173.13,0,None,0.0
2026-01-05,PROD002,STORE006,North,104,206.96,0,None,0.0
2026-01-05,PROD003,STORE006,North,204,303.96,0,None,0.0
2026-01-05,PROD004,STORE006,North,141,315.98,1,Discount,10.0
2026-01-05,PROD005,STORE006,North,49,220.01,0,None,0.0
2026-01-05,PROD006,STORE006,North,69,275.31,0,None,0.0
2026-01-05,PROD007,STORE006,North,93,278.07,0,None,0.0
2026-01-05,PROD008,STORE006,North,57,284.43,0,None,0.0
2026-01-05,PROD009,STORE006,North,236,233.64,0,None,0.0
2026-01-05,PROD010,STORE006,North,142,254.18,0,None,0.0
2026-01-05,PROD011,STORE006,North,97,222.13,0,None,0.0
2026-01-05,PROD012,STORE006,North,195,251.55,1,Display Space,0.0
2026-01-05,PROD013,STORE006,North,70,209.3,0,None,0.0
2026-01-05,PROD014,STORE006,North,95,284.05,0,None,0.0
2026-01-05,PROD015,STORE006,North,58,202.42,0,None,0.0
2026-01-05,PROD016,STORE006,North,56,212.24,0,None,0.0
2026-01-05,PROD017,STORE006,North,78,194.22,0,None,0.0
2026-01-05,PROD018,STORE006,North,101,221.19,0,None,0.0
2026-01-05,PROD019,STORE006,North,155,292.95,0,None,0.0
2026-01-05,PROD020,STORE006,North,98,322.42,1,Display Space,0.0
2026-01-05,PROD001,STORE007,West,156,310.44,0,None,0.0
2026-01-05,PROD002,STORE007,West,194,386.06,0,None,0.0
2026-01-05,PROD003,STORE007,West,460,685.4,1,Display Space,0.0
2026-01-05,PROD004,STORE007,West,126,313.74,0,None,0.0
2026-01-05,PROD005,STORE007,West,77,345.73,0,None,0.0
2026-01-05,PROD006,STORE007,West,126,502.74,0,None,0.0
2026-01-05,PROD007,STORE007,West,148,442.52,0,None,0.0
2026-01-05,PROD008,STORE007,West,107,533.93,0,None,0.0
2026-01-05,PROD009,STORE007,West,442,437.58,0,None,0.0
2026-01-05,PROD010,STORE007,West,257,460.03,0,None,0.0
2026-01-05,PROD011,STORE007,West,160,366.4,0,None,0.0
2026-01-05,PROD012,STORE007,West,272,350.88,0,None,0.0
2026-01-05,PROD013,STORE007,West,142,424.58,0,None,0.0
2026-01-05,PROD014,STORE007,West,146,436.54,0,None,0.0
2026-01-05,PROD015,STORE007,West,103,359.47,0,None,0.0
2026-01-05,PROD016,STORE007,West,101,382.79,0,None,0.0
2026-01-05,PROD017,STORE007,West,280,522.9,1,Discount,25.0
2026-01-05,PROD018,STORE007,West,164,359.16,0,None,0.0
2026-01-05,PROD019,STORE007,West,211,398.79,0,None,0.0
2026-01-05,PROD020,STORE007,West,115,378.35,0,None,0.0
2026-01-05,PROD001,STORE008,East,132,262.68,0,None,0.0
2026-01-05,PROD002,STORE008,East,127,252.73,0,None,0.0
2026-01-05,PROD003,STORE008,East,205,305.45,0,None,0.0
2026-01-05,PROD004,STORE008,East,104,258.96,0,None,0.0
2026-01-05,PROD005,STORE008,East,39,175.11,0,None,0.0
2026-01-05,PROD006,STORE008,East,68,271.32,0,None,0.0
2026-01-05,PROD007,STORE008,East,75,224.25,0,None,0.0
2026-01-05,PROD008,STORE008,East,37,184.63,0,None,0.0
2026-01-05,PROD009,STORE008,East,254,251.46,0,None,0.0
2026-01-05,PROD010,STORE008,East,144,257.76,0,None,0.0
2026-01-05,PROD011,STORE008,East,93,212.97,0,None,0.0
2026-01-05,PROD012,STORE008,East,176,227.04,0,None,0.0
2026-01-05,PROD013,STORE008,East,70,209.3,0,None,0.0
2026-01-05,PROD014,STORE008,East,78,233.22,0,None,0.0
2026-01-05,PROD015,STORE008,East,113,197.19,1,BOGO,50.0
2026-01-05,PROD016,STORE008,East,60,227.4,0,None,0.0
2026-01-05,PROD017,STORE008,East,100,249.0,0,None,0.0
2026-01-05,PROD018,STORE008,East,108,236.52,0,None,0.0
2026-01-05,PROD019,STORE008,East,159,300.51,0,None,0.0
2026-01-05,PROD020,STORE008,East,81,266.49,0,None,0.0
2026-01-05,PROD001,STORE009,West,28,55.72,0,None,0.0
2026-01-05,PROD002,STORE009,West,31,61.69,0,None,0.0
2026-01-05,PROD003,STORE009,West,56,83.44,1,Display Space,0.0
2026-01-05,PROD004,STORE009,West,27,67.23,0,None,0.0
2026-01-05,PROD005,STORE009,West,11,49.39,0,None,0.0
2026-01-05,PROD006,STORE009,West,15,59.85,0,None,0.0
2026-01-05,PROD007,STORE009,West,19,56.81,0,None,0.0
2026-01-05,PROD008,STORE009,West,12,59.88,0,None,0.0
2026-01-05,PROD009,STORE009,West,63,62.37,0,None,0.0
2026-01-05,PROD010,STORE009,West,29,51.91,0,None,0.0
2026-01-05,PROD011,STORE009,West,23,52.67,0,None,0.0
2026-01-05,PROD012,STORE009,West,39,50.31,0,None,0.0
2026-01-05,PROD013,STORE009,West,19,56.81,0,None,0.0
2026-01-05,PROD014,STORE009,West,20,59.8,0,None,0.0
2026-01-05,PROD015,STORE009,West,20,69.8,0,None,0.0
2026-01-05,PROD016,STORE009,West,15,56.85,0,None,0.0
2026-01-05,PROD017,STORE009,West,22,54.78,0,None,0.0
2026-01-05,PROD018,STORE009,West,31,67.89,0,None,0.0
2026-01-05,PROD019,STORE009,West,46,43.47,1,BOGO,50.0
2026-01-05,PROD020,STORE009,West,17,55.93,0,None,0.0
2026-01-05,PROD001,STORE010,South,62,61.69,1,BOGO,50.0
2026-01-05,PROD002,STORE010,South,21,41.79,0,None,0.0
2026-01-05,PROD003,STORE010,South,36,53.64,0,None,0.0
2026-01-05,PROD004,STORE010,South,20,49.8,0,None,0.0
2026-01-05,PROD005,STORE010,South,14,62.86,0,None,0.0
2026-01-05,PROD006,STORE010,South,11,43.89,0,None,0.0
2026-01-05,PROD007,STORE010,South,17,50.83,0,None,0.0
2026-01-05,PROD008,STORE010,South,12,59.88,0,None,0.0
2026-01-05,PROD009,STORE010,South,56,55.44,0,None,0.0
2026-01-05,PROD010,STORE010,South,28,50.12,0,None,0.0
2026-01-05,PROD011,STORE010,South,32,73.28,0,None,0.0
2026-01-05,PROD012,STORE010,South,85,54.83,1,BOGO,50.0
2026-01-05,PROD013,STORE010,South,16,47.84,0,None,0.0
2026-01-05,PROD014,STORE010,South,16,47.84,0,None,0.0
2026-01-05,PROD015,STORE010,South,26,68.06,1,Discount,25.0
2026-01-05,PROD016,STORE010,South,16,60.64,0,None,0.0
2026-01-05,PROD017,STORE010,South,23,57.27,0,None,0.0
2026-01-05,PROD018,STORE010,South,23,50.37,0,None,0.0
2026-01-05,PROD019,STORE010,South,41,58.12,1,Discount,25.0
2026-01-05,PROD020,STORE010,South,36,59.22,1,BOGO,50.0
2026-01-05,PROD001,STORE011,North,241,479.59,0,None,0.0
2026-01-05,PROD002,STORE011,North,188,374.12,0,None,0.0
2026-01-05,PROD003,STORE011,North,287,427.63,0,None,0.0
2026-01-05,PROD004,STORE011,North,194,483.06,0,None,0.0
2026-01-05,PROD005,STORE011,North,100,449.0,0,None,0.0
2026-01-05,PROD006,STORE011,North,107,426.93,0,None,0.0
2026-01-05,PROD007,STORE011,North,136,406.64,0,None,0.0
2026-01-05,PROD008,STORE011,North,99,494.01,0,None,0.0
2026-01-05,PROD009,STORE011,North,539,533.61,0,None,0.0
2026-01-05,PROD010,STORE011,North,497,444.81,1,BOGO,50.0
2026-01-05,PROD011,STORE011,North,209,478.61,0,None,0.0
2026-01-05,PROD012,STORE011,North,538,347.01,1,BOGO,50.0
2026-01-05,PROD013,STORE011,North,125,373.75,0,None,0.0
2026-01-05,PROD014,STORE011,North,153,457.47,0,None,0.0
2026-01-05,PROD015,STORE011,North,110,383.9,0,None,0.0
2026-01-05,PROD016,STORE011,North,97,367.63,0,None,0.0
2026-01-05,PROD017,STORE011,North,142,353.58,0,None,0.0
2026-01-05,PROD018,STORE011,North,419,458.81,1,BOGO,50.0
2026-01-05,PROD019,STORE011,North,269,508.41,0,None,0.0
2026-01-05,PROD020,STORE011,North,129,424.41,0,None,0.0
2026-01-05,PROD001,STORE012,North,46,68.66,1,Discount,25.0
2026-01-05,PROD002,STORE012,North,31,61.69,0,None,0.0
2026-01-05,PROD003,STORE012,North,37,55.13,0,None,0.0
2026-01-05,PROD004,STORE012,North,23,57.27,1,Display Space,0.0
2026-01-05,PROD005,STORE012,North,21,80.15,1,Discount,15.0
2026-01-05,PROD006,STORE012,North,13,51.87,0,None,0.0
2026-01-05,PROD007,STORE012,North,14,41.86,0,None,0.0
2026-01-05,PROD008,STORE012,North,10,49.9,0,None,0.0
2026-01-05,PROD009,STORE012,North,48,47.52,0,None,0.0
2026-01-05,PROD010,STORE012,North,59,79.21,1,Discount,25.0
2026-01-05,PROD011,STORE012,North,38,43.51,1,BOGO,50.0
2026-01-05,PROD012,STORE012,North,50,64.5,0,None,0.0
2026-01-05,PROD013,STORE012,North,22,65.78,0,None,0.0
2026-01-05,PROD014,STORE012,North,15,44.85,0,None,0.0
2026-01-05,PROD015,STORE012,North,19,66.31,0,None,0.0
2026-01-05,PROD016,STORE012,North,15,56.85,0,None,0.0
2026-01-05,PROD017,STORE012,North,20,49.8,0,None,0.0
2026-01-05,PROD018,STORE012,North,21,45.99,0,None,0.0
2026-01-05,PROD019,STORE012,North,31,58.59,0,None,0.0
2026-01-05,PROD020,STORE012,North,16,52.64,0,None,0.0
2026-01-05,PROD001,STORE013,East,193,384.07,0,None,0.0
2026-01-05,PROD002,STORE013,East,214,425.86,0,None,0.0
2026-01-05,PROD003,STORE013,East,326,485.74,0,None,0.0
2026-01-05,PROD004,STORE013,East,144,358.56,0,None,0.0
2026-01-05,PROD005,STORE013,East,81,363.69,0,None,0.0
2026-01-05,PROD006,STORE013,East,123,490.77,0,None,0.0
2026-01-05,PROD007,STORE013,East,122,364.78,0,None,0.0
2026-01-05,PROD008,STORE013,East,91,454.09,0,None,0.0
2026-01-05,PROD009,STORE013,East,553,547.47,0,None,0.0
2026-01-05,PROD010,STORE013,East,184,329.36,0,None,0.0
2026-01-05,PROD011,STORE013,East,178,407.62,0,None,0.0
2026-01-05,PROD012,STORE013,East,333,429.57,0,None,0.0
2026-01-05,PROD013,STORE013,East,149,445.51,0,None,0.0
2026-01-05,PROD014,STORE013,East,135,403.65,0,None,0.0
2026-01-05,PROD015,STORE013,East,135,471.15,0,None,0.0
2026-01-05,PROD016,STORE013,East,98,371.42,0,None,0.0
2026-01-05,PROD017,STORE013,East,179,445.71,0,None,0.0
2026-01-05,PROD018,STORE013,East,171,374.49,0,None,0.0
2026-01-05,PROD019,STORE013,East,187,353.43,0,None,0.0
2026-01-05,PROD020,STORE013,East,135,444.15,0,None,0.0
2026-01-05,PROD001,STORE014,North,75,149.25,0,None,0.0
2026-01-05,PROD002,STORE014,North,77,153.23,0,None,0.0
2026-01-05,PROD003,STORE014,North,109,162.41,0,None,0.0
2026-01-05,PROD004,STORE014,North,66,164.34,0,None,0.0
2026-01-05,PROD005,STORE014,North,35,157.15,0,None,0.0
2026-01-05,PROD006,STORE014,North,31,123.69,0,None,0.0
2026-01-05,PROD007,STORE014,North,48,143.52,0,None,0.0
2026-01-05,PROD008,STORE014,North,43,214.57,1,Display Space,0.0
2026-01-05,PROD009,STORE014,North,183,181.17,0,None,0.0
2026-01-05,PROD010,STORE014,North,84,150.36,0,None,0.0
2026-01-05,PROD011,STORE014,North,64,146.56,0,None,0.0
2026-01-05,PROD012,STORE014,North,94,121.26,0,None,0.0
2026-01-05,PROD013,STORE014,North,50,149.5,0,None,0.0
2026-01-05,PROD014,STORE014,North,49,146.51,0,None,0.0
2026-01-05,PROD015,STORE014,North,45,157.05,0,None,0.0
2026-01-05,PROD016,STORE014,North,45,170.55,1,Display Space,0.0
2026-01-05,PROD017,STORE014,North,67,166.83,0,None,0.0
2026-01-05,PROD018,STORE014,North,60,131.4,0,None,0.0
2026-01-05,PROD019,STORE014,North,66,124.74,0,None,0.0
2026-01-05,PROD020,STORE014,North,46,151.34,0,None,0.0
2026-01-05,PROD001,STORE015,East,27,53.73,0,None,0.0
2026-01-05,PROD002,STORE015,East,34,67.66,0,None,0.0
2026-01-05,PROD003,STORE015,East,35,52.15,0,None,0.0
2026-01-05,PROD004,STORE015,East,21,52.29,0,None,0.0
2026-01-05,PROD005,STORE015,East,17,68.7,1,Discount,10.0
2026-01-05,PROD006,STORE015,East,16,63.84,0,None,0.0
2026-01-05,PROD007,STORE015,East,16,47.84,0,None,0.0
2026-01-05,PROD008,STORE015,East,9,44.91,0,None,0.0
2026-01-05,PROD009,STORE015,East,69,68.31,0,None,0.0
2026-01-05,PROD010,STORE015,East,32,57.28,0,None,0.0
2026-01-05,PROD011,STORE015,East,22,50.38,0,None,0.0
2026-01-05,PROD012,STORE015,East,46,59.34,0,None,0.0
2026-01-05,PROD013,STORE015,East,19,56.81,0,None,0.0
2026-01-05,PROD014,STORE015,East,18,53.82,0,None,0.0
2026-01-05,PROD015,STORE015,East,17,59.33,0,None,0.0
2026-01-05,PROD016,STORE015,East,19,72.01,0,None,0.0
2026-01-05,PROD017,STORE015,East,25,62.25,0,None,0.0
2026-01-05,PROD018,STORE015,East,29,63.51,0,None,0.0
2026-01-05,PROD019,STORE015,East,26,49.14,0,None,0.0
2026-01-05,PROD020,STORE015,East,17,55.93,0,None,0.0
2026-01-05,PROD001,STORE016,South,73,145.27,0,None,0.0
2026-01-05,PROD002,STORE016,South,56,111.44,0,None,0.0
2026-01-05,PROD003,STORE016,South,121,180.29,0,None,0.0
2026-01-05,PROD004,STORE016,South,98,122.01,1,BOGO,50.0
2026-01-05,PROD005,STORE016,South,27,121.23,0,None,0.0
2026-01-05,PROD006,STORE016,South,55,219.45,1,Display Space,0.0
2026-01-05,PROD007,STORE016,South,41,122.59,0,None,0.0
2026-01-05,PROD008,STORE016,South,23,114.77,0,None,0.0
2026-01-05,PROD009,STORE016,South,184,182.16,0,None,0.0
2026-01-05,PROD010,STORE016,South,89,159.31,0,None,0.0
2026-01-05,PROD011,STORE016,South,66,151.14,0,None,0.0
2026-01-05,PROD012,STORE016,South,99,127.71,0,None,0.0
2026-01-05,PROD013,STORE016,South,50,149.5,0,None,0.0
2026-01-05,PROD014,STORE016,South,45,134.55,0,None,0.0
2026-01-05,PROD015,STORE016,South,44,153.56,0,None,0.0
2026-01-05,PROD016,STORE016,South,33,125.07,0,None,0.0
2026-01-05,PROD017,STORE016,South,51,126.99,0,None,0.0
2026-01-05,PROD018,STORE016,South,58,127.02,0,None,0.0
2026-01-05,PROD019,STORE016,South,89,168.21,0,None,0.0
2026-01-05,PROD020,STORE016,South,49,161.21,0,None,0.0
2026-01-05,PROD001,STORE017,South,78,155.22,0,None,0.0
2026-01-05,PROD002,STORE017,South,75,149.25,0,None,0.0
2026-01-05,PROD003,STORE017,South,96,143.04,0,None,0.0
2026-01-05,PROD004,STORE017,South,54,134.46,0,None,0.0
2026-01-05,PROD005,STORE017,South,35,157.15,0,None,0.0
2026-01-05,PROD006,STORE017,South,39,155.61,0,None,0.0
2026-01-05,PROD007,STORE017,South,50,149.5,0,None,0.0
2026-01-05,PROD008,STORE017,South,26,129.74,0,None,0.0
2026-01-05,PROD009,STORE017,South,277,137.12,1,BOGO,50.0
2026-01-05,PROD010,STORE017,South,63,112.77,0,None,0.0
2026-01-05,PROD011,STORE017,South,55,125.95,0,None,0.0
2026-01-05,PROD012,STORE017,South,111,143.19,0,None,0.0
2026-01-05,PROD013,STORE017,South,82,122.59,1,BOGO,50.0
2026-01-05,PROD014,STORE017,South,49,146.51,0,None,0.0
2026-01-05,PROD015,STORE017,South,39,136.11,0,None,0.0
2026-01-05,PROD016,STORE017,South,38,144.02,0,None,0.0
2026-01-05,PROD017,STORE017,South,58,144.42,0,None,0.0
2026-01-05,PROD018,STORE017,South,70,153.3,0,None,0.0
2026-01-05,PROD019,STORE017,South,79,149.31,0,None,0.0
2026-01-05,PROD020,STORE017,South,45,148.05,0,None,0.0
2026-01-05,PROD001,STORE018,South,443,440.79,1,BOGO,50.0
2026-01-05,PROD002,STORE018,South,209,415.91,0,None,0.0
2026-01-05,PROD003,STORE018,South,253,376.97,0,None,0.0
2026-01-05,PROD004,STORE018,South,180,448.2,0,None,0.0
2026-01-05,PROD005,STORE018,South,85,381.65,0,None,0.0
2026-01-05,PROD006,STORE018,South,104,414.96,0,None,0.0
2026-01-05,PROD007,STORE018,South,152,454.48,0,None,0.0
2026-01-05,PROD008,STORE018,South,73,364.27,0,None,0.0
2026-01-05,PROD009,STORE018,South,451,446.49,0,None,0.0
2026-01-05,PROD010,STORE018,South,249,445.71,0,None,0.0
2026-01-05,PROD011,STORE018,South,169,387.01,0,None,0.0
2026-01-05,PROD012,STORE018,South,577,669.9,1,Discount,10.0
2026-01-05,PROD013,STORE018,South,163,487.37,0,None,0.0
2026-01-05,PROD014,STORE018,South,130,388.7,0,None,0.0
2026-01-05,PROD015,STORE018,South,117,408.33,0,None,0.0
2026-01-05,PROD016,STORE018,South,127,481.33,0,None,0.0
2026-01-05,PROD017,STORE018,South,133,331.17,0,None,0.0
2026-01-05,PROD018,STORE018,South,162,354.78,0,None,0.0
2026-01-05,PROD019,STORE018,South,227,429.03,0,None,0.0
2026-01-05,PROD020,STORE018,South,152,500.08,1,Display Space,0.0
2026-01-05,PROD001,STORE019,East,25,49.75,0,None,0.0
2026-01-05,PROD002,STORE019,East,29,57.71,0,None,0.0
2026-01-05,PROD003,STORE019,East,39,58.11,0,None,0.0
2026-01-05,PROD004,STORE019,East,39,77.69,1,Discount,20.0
2026-01-05,PROD005,STORE019,East,12,53.88,0,None,0.0
2026-01-05,PROD006,STORE019,East,16,63.84,0,None,0.0
2026-01-05,PROD007,STORE019,East,18,53.82,0,None,0.0
2026-01-05,PROD008,STORE019,East,12,59.88,0,None,0.0
2026-01-05,PROD009,STORE019,East,75,74.25,0,None,0.0
2026-01-05,PROD010,STORE019,East,28,50.12,0,None,0.0
2026-01-05,PROD011,STORE019,East,40,91.6,1,Display Space,0.0
2026-01-05,PROD012,STORE019,East,50,64.5,0,None,0.0
2026-01-05,PROD013,STORE019,East,17,50.83,0,None,0.0
2026-01-05,PROD014,STORE019,East,21,62.79,0,None,0.0
2026-01-05,PROD015,STORE019,East,13,45.37,0,None,0.0
2026-01-05,PROD016,STORE019,East,13,49.27,0,None,0.0
2026-01-05,PROD017,STORE019,East,25,62.25,0,None,0.0
2026-01-05,PROD018,STORE019,East,29,63.51,0,None,0.0
2026-01-05,PROD019,STORE019,East,34,64.26,0,None,0.0
2026-01-05,PROD020,STORE019,East,18,59.22,0,None,0.0
2026-01-05,PROD001,STORE020,South,34,67.66,0,None,0.0
2026-01-05,PROD002,STORE020,South,35,69.65,0,None,0.0
2026-01-05,PROD003,STORE020,South,36,53.64,0,None,0.0
2026-01-05,PROD004,STORE020,South,19,47.31,0,None,0.0
2026-01-05,PROD005,STORE020,South,13,58.37,0,None,0.0
2026-01-05,PROD006,STORE020,South,16,63.84,1,Display Space,0.0
2026-01-05,PROD007,STORE020,South,21,62.79,0,None,0.0
2026-01-05,PROD008,STORE020,South,12,59.88,0,None,0.0
2026-01-05,PROD009,STORE020,South,105,51.98,1,BOGO,50.0
2026-01-05,PROD010,STORE020,South,37,66.23,0,None,0.0
2026-01-05,PROD011,STORE020,South,32,73.28,0,None,0.0
2026-01-05,PROD012,STORE020,South,56,72.24,0,None,0.0
2026-01-05,PROD013,STORE020,South,24,71.76,1,Display Space,0.0
2026-01-05,PROD014,STORE020,South,24,71.76,0,None,0.0
2026-01-05,PROD015,STORE020,South,15,52.35,0,None,0.0
2026-01-05,PROD016,STORE020,South,16,60.64,0,None,0.0
2026-01-05,PROD017,STORE020,South,18,44.82,0,None,0.0
2026-01-05,PROD018,STORE020,South,46,50.37,1,BOGO,50.0
2026-01-05,PROD019,STORE020,South,34,64.26,0,None,0.0
2026-01-05,PROD020,STORE020,South,14,46.06,0,None,0.0
2026-01-05,PROD001,STORE021,South,89,177.11,1,Display Space,0.0
2026-01-05,PROD002,STORE021,South,72,143.28,0,None,0.0
2026-01-05,PROD003,STORE021,South,121,180.29,1,Display Space,0.0
2026-01-05,PROD004,STORE021,South,50,124.5,0,None,0.0
2026-01-05,PROD005,STORE021,South,37,166.13,0,None,0.0
2026-01-05,PROD006,STORE021,South,33,131.67,0,None,0.0
2026-01-05,PROD007,STORE021,South,54,161.46,0,None,0.0
2026-01-05,PROD008,STORE021,South,27,134.73,0,None,0.0
2026-01-05,PROD009,STORE021,South,355,175.72,1,BOGO,50.0
2026-01-05,PROD010,STORE021,South,84,150.36,0,None,0.0
2026-01-05,PROD011,STORE021,South,67,153.43,0,None,0.0
2026-01-05,PROD012,STORE021,South,95,122.55,0,None,0.0
2026-01-05,PROD013,STORE021,South,59,176.41,0,None,0.0
2026-01-05,PROD014,STORE021,South,63,94.19,1,BOGO,50.0
2026-01-05,PROD015,STORE021,South,37,129.13,0,None,0.0
2026-01-05,PROD016,STORE021,South,42,159.18,0,None,0.0
2026-01-05,PROD017,STORE021,South,49,122.01,0,None,0.0
